Timestamp,X,Y,Button Pressed,Time,Subject ID
1616448584,1088,608,-1,-1,0
1616448584,1097,608,-1,-1,0
1616448584,1105,609,-1,-1,0
1616448584,1111,610,-1,-1,0
1616448584,1115,610,-1,-1,0
1616448584,1118,611,-1,-1,0
1616448584,1120,611,-1,-1,0
1616448584,1120,611,-1,-1,0
1616448584,1121,611,-1,-1,0
1616448584,1124,611,-1,-1,0
1616448584,1134,611,-1,-1,0
1616448584,1149,609,-1,-1,0
1616448585,1175,604,-1,-1,0
1616448585,1212,599,-1,-1,0
1616448585,1250,597,-1,-1,0
1616448585,1281,596,-1,-1,0
1616448585,1305,596,-1,-1,0
1616448585,1319,596,-1,-1,0
1616448585,1328,596,-1,-1,0
1616448585,1331,596,-1,-1,0
1616448585,1331,596,-1,-1,0
1616448586,1329,594,-1,-1,0
1616448586,1318,590,-1,-1,0
1616448586,1304,585,-1,-1,0
1616448586,1282,578,-1,-1,0
1616448586,1269,572,-1,-1,0
1616448586,1259,567,-1,-1,0
1616448586,1255,564,-1,-1,0
1616448586,1253,562,-1,-1,0
1616448586,1251,561,-1,-1,0
1616448586,1250,559,-1,-1,0
1616448586,1247,558,-1,-1,0
1616448586,1243,555,-1,-1,0
1616448586,1242,554,-1,-1,0
1616448586,1239,552,-1,-1,0
1616448586,1237,551,-1,-1,0
1616448586,1235,549,-1,-1,0
1616448586,1233,547,-1,-1,0
1616448586,1230,546,-1,-1,0
1616448586,1227,543,-1,-1,0
1616448586,1222,539,-1,-1,0
1616448586,1218,536,-1,-1,0
1616448586,1212,532,-1,-1,0
1616448586,1205,528,-1,-1,0
1616448586,1201,524,-1,-1,0
1616448586,1195,521,-1,-1,0
1616448586,1190,517,-1,-1,0
1616448586,1184,513,-1,-1,0
1616448586,1178,510,-1,-1,0
1616448586,1173,507,-1,-1,0
1616448586,1165,504,-1,-1,0
1616448586,1157,502,-1,-1,0
1616448586,1146,499,-1,-1,0
1616448586,1132,495,-1,-1,0
1616448586,1115,490,-1,-1,0
1616448586,1101,487,-1,-1,0
1616448586,1084,482,-1,-1,0
1616448586,1070,480,-1,-1,0
1616448586,1057,477,-1,-1,0
1616448586,1043,476,-1,-1,0
1616448586,1031,474,-1,-1,0
1616448586,1018,473,-1,-1,0
